Names Date,AAPL,AXP,BA,CAT,COST,CSCO,CVX,DD,DIS,F,GE,GOOG,HD,HPQ,IBM,INTC,JNJ,JPM,KO,MCD,MSFT,T,TGT,VZ,WMT,XOM,YHOO,
11/30/2011,0.0241157550,0.0546652031,0.0525589948,0.0810691407,0.0214345587,0.0542986425,0.0557552110,0.0585625555,0.0544117647,0.0610610611,0.0663538874,0.0282367013,0.0066735113,0.0390334572,0.0390184592,0.0564037320,0.0309015610,0.0843837535,0.0157123433,0.0220415151,0.0297906602,0.0327868852,0.0088055130,0.0300300300,0.0125494241,0.0456258937,0.0006369427,
12/01/2011,0.0149920980,-0.0052039967,0.0333381861,-0.0108295872,0.0209847597,-0.0032188841,-0.0096284770,-0.0090108969,0.0039051604,-0.0009433962,0.0000000000,0.0239910739,0.0030596634,0.0096601073,0.0077127660,0.0004014452,-0.0041718171,-0.0164675492,-0.0059497248,-0.0002093802,-0.0117279124,-0.0048309179,-0.0104364326,0.0010601643,-0.0049235993,-0.0080805569,0.0330999363,
12/02/2011,0.0045627305,0.0092069471,0.0045083122,-0.0054740756,-0.0041336548,-0.0016146394,-0.0013748404,-0.0057094523,0.0172270075,0.0292728990,0.0113136392,0.0107368718,0.0152516523,-0.0191353650,0.0011084719,-0.0112359551,-0.0152055857,0.0613919895,-0.0067335029,0.0020942408,-0.0023734177,0.0041608877,0.0139980825,0.0021180831,-0.0088722061,0.0000000000,-0.0110905730,
12/05/2011,0.0084937129,0.0114036906,-0.0029453015,0.0058157649,0.0054191168,0.0129380054,0.0111122038,0.0204168439,0.0090139306,0.0192660550,0.0149160970,0.0085273552,0.0072608913,0.0158959538,0.0062216598,0.0150162338,-0.0017331023,0.0364986081,-0.0010545345,-0.0036572623,0.0190325139,0.0065607735,0.0083207262,0.0052840159,0.0043036667,0.0082717132,-0.0099688474,
12/06/2011,-0.0052415968,-0.0045100451,-0.0030946687,-0.0091894682,0.0098623853,-0.0031931879,0.0149776308,-0.0008336807,-0.0029778018,-0.0054005401,0.0238824250,-0.0030048748,0.0022371365,0.0021337127,0.0110039824,0.0135945622,0.0020517677,-0.0083557147,0.0055798522,0.0069218668,-0.0015564202,0.0006861063,0.0063765941,0.0070959264,0.0075419952,0.0045991299,-0.0031466331,
12/07/2011,-0.0047576671,0.0123558484,-0.0038097926,-0.0111504794,-0.0066999773,0.0138814736,0.0015331545,0.0029203171,0.0073309802,0.0027149321,0.0011961722,-0.0006092149,0.0101686508,0.0081618169,0.0057530839,0.0122287968,0.0151204914,0.0231718327,0.0014997001,0.0045828560,-0.0023382697,0.0078848132,0.0098770034,-0.0002609603,-0.0045933991,0.0032170255,-0.0138888889,
12/08/2011,0.0040350562,-0.0274613507,-0.0060906516,-0.0207608810,-0.0195495598,-0.0221169036,-0.0217183314,-0.0324459235,-0.0318059299,-0.0297833935,-0.0256869773,-0.0117743626,-0.0201325804,-0.0263991552,-0.0127286782,-0.0370226033,-0.0103956555,-0.0523529412,-0.0007487272,0.0048729912,-0.0078125000,-0.0183673469,-0.0132865842,-0.0130514226,-0.0090582806,-0.0149235323,-0.0006402049,
12/09/2011,0.0075769211,0.0207069651,0.0250819439,0.0328239346,-0.0162080224,0.0166935918,0.0195599022,-0.0318142734,0.0178173719,0.0260465116,0.0324954016,0.0184562782,0.0080180406,0.0086767896,0.0155548596,0.0121408337,0.0117591722,0.0297951583,0.0125880414,0.0114527445,0.0118110236,0.0058905059,0.0005610623,0.0163977784,0.0058640911,0.0184049080,0.0211402947,
12/12/2011,-0.0045221279,-0.0186475410,-0.0143194773,-0.0284463895,-0.0026075619,-0.0185381356,-0.0113189448,-0.0250888099,0.0024617068,-0.0163191296,-0.0225653207,-0.0032354245,-0.0044742729,-0.0200716846,-0.0122327817,-0.0403838465,-0.0158066016,-0.0343580470,-0.0100636377,0.0045904315,-0.0073929961,-0.0006889425,-0.0005607477,-0.0020817070,-0.0039437586,-0.0158593558,-0.0294855709,
12/13/2011,-0.0077327481,-0.0104405930,0.0000000000,-0.0242385242,-0.0061794415,-0.0032379924,0.0053361793,-0.0095650194,-0.0087312415,-0.0341013825,-0.0024301337,0.0003837445,-0.0134831461,-0.0197512802,-0.0053595590,-0.0183333333,-0.0023618328,-0.0234082397,-0.0061294663,-0.0048740861,0.0098000784,0.0010341262,-0.0123433701,-0.0023468057,-0.0084351868,0.0059962523,-0.0032320621,
12/14/2011,-0.0221702117,-0.0065414644,-0.0135401975,-0.0437458782,-0.0105225398,-0.0265295073,-0.0298204980,-0.0062083238,-0.0322047894,-0.0314885496,0.0115712546,-0.0120838035,-0.0093647178,-0.0156716418,-0.0127124778,-0.0106112054,-0.0028409091,0.0070310003,-0.0033092659,-0.0039795918,-0.0065993789,-0.0079201102,-0.0062488165,0.0000000000,0.0008680556,-0.0135353284,-0.0259403372,
12/15/2011,-0.0032878298,-0.0140186916,0.0095796397,0.0080459770,-0.0021752266,0.0033370412,-0.0085546603,0.0111059695,0.0008532423,0.0098522167,0.0108368453,0.0023783228,0.0071538068,-0.0083396513,-0.0065705808,0.0000000000,0.0129787908,0.0079339892,0.0095079988,0.0054297715,-0.0011723329,-0.0006942034,-0.0078125000,0.0041819132,0.0052038161,0.0074269889,0.0093209055,
12/16/2011,0.0054889692,0.0099095218,0.0056649200,-0.0057012543,0.0000000000,-0.0055432373,0.0119394000,0.0064073227,0.0036942313,0.0000000000,0.0131030375,0.0103625919,0.0253678336,-0.0122324159,-0.0208555046,-0.0034320034,0.0046875000,0.0040931990,0.0082224548,-0.0066231914,0.0172143975,0.0020840570,0.0024966391,0.0093701197,0.0055220017,0.0016243909,-0.0131926121,
